ID,Título,Resumen,Enlace,Imagen
Noticia_TIC1,Voto digital será activado en las Elecciones Generales 2026,Resumen no disponible,https://tec.com.pe,
Noticia_TIC2,Ahora se podrá viajar con la misma tarjeta en los transportes públicos,Resumen no disponible,https://tec.com.pe,
Noticia_TIC3,iFFALCON llega a Perú con televisores innovadores a precios accesibles,Resumen no disponible,https://tec.com.pe,
Noticia_TIC4,"Pokémon GO Fest 2025: llega a París, Nueva Jersey y Osaka en Junio",Resumen no disponible,https://tec.com.pe,
Noticia_TIC5,WhatsApp permitirá usar múltiples cuentas en un solo dispositivo,Resumen no disponible,https://tec.com.pe,
Noticia_TIC6,¡Se confirma año oficial del lanzamiento de la PS6!,Resumen no disponible,https://tec.com.pe,
Noticia_TIC7,DeepSeek: La nueva inteligencia artificial que revoluciona el mercado,Resumen no disponible,https://tec.com.pe,
Noticia_TIC8,Todo lo que nos presentó Samsung en el Galaxy Unpacked 2025,Resumen no disponible,https://tec.com.pe,
Noticia_TIC9,Instagram actualiza su diseño y algoritmo,Resumen no disponible,https://tec.com.pe,
Noticia_TIC10,OpenAI está entrenando una IA con el nivel de un profesional,Resumen no disponible,https://tec.com.pe,
Noticia_TIC11,El sombrero de EcoFlow que puede cargar tu celular,Resumen no disponible,https://tec.com.pe,
Noticia_TIC12,Aplazan la prohibición de TikTok,Resumen no disponible,https://tec.com.pe,
Noticia_TIC13,“El chico de las noticias” es nominado en los TikTok Awards 2025,Resumen no disponible,https://tec.com.pe,
Noticia_TIC14,Llega el Galaxy Unpacked 2025 de Samsung,Resumen no disponible,https://tec.com.pe,
Noticia_TIC15,Usuarios de TikTok boicotean Meta y X,Resumen no disponible,https://tec.com.pe,
Noticia_TIC16,Quieren comprar TikTok y estos son sus candidatos,Resumen no disponible,https://tec.com.pe,
Noticia_TIC17,RedNote y Lemon8: las apps que dominan las descargas como reemplazo de TikTok,Resumen no disponible,https://tec.com.pe,
Noticia_TIC18,CES Las Vegas 2025: 5 tecnologías revolucionarias,Resumen no disponible,https://tec.com.pe,
Noticia_TIC19,Las innovaciones tecnológicas del CES 2025,Resumen no disponible,https://tec.com.pe,
Noticia_TIC20,Nintendo lanza despertador con sus personajes de videojuegos,Resumen no disponible,https://tec.com.pe,
